disaster_id,alertlevel,alertscore,episodealertlevel,episodealertscore,country,fromdate,todate,severity,source,iso3,eventtype,GDACS ID,People affected,Countries,Duration (days),Burned area
WF_IND_20210326_126,Green,1,GREEN,1,India,3/26/2021,2021-04-01T00:00:00,7269,GWIS,IND,WF,WF 1000051,670 in the burned area,India,6,7269 ha
WF_RUS_20210429_127,Green,1,GREEN,1,Russian Federation,4/29/2021,2021-06-16T00:00:00,209068,GWIS,RUS,WF,WF 1000398,0 in the burned area,Russian Federation,48,209068 ha
WF_RUS_20210425_128,Green,1,GREEN,1,Russian Federation,4/25/2021,2021-06-04T00:00:00,72313,GWIS,RUS,WF,WF 1000251,19 in the burned area,Russian Federation,40,72313 ha
WF_RUS_20210425_129,Green,1,GREEN,1,Russian Federation,4/25/2021,2021-05-30T00:00:00,49295,GWIS,RUS,WF,WF 1000305,8 in the burned area,Russian Federation,35,49295 ha
WF_RUS_20210429_130,Green,1,GREEN,1,Russian Federation,4/29/2021,2021-05-18T00:00:00,172353,GWIS,RUS,WF,WF 1000315,0 in the burned area,Russian Federation,19,172353 ha
WF_RUS_20210429_131,GREEN,1,GREEN,1,Russian Federation,4/29/2021,2021-05-16T00:00:00,160376,GWIS,RUS,WF,WF 1000314,0 in the burned area,Russian Federation,17,160376 ha
WF_RUS_20210415_132,GREEN,1,GREEN,1,Russian Federation,4/15/2021,2021-05-15T00:00:00,160507,GWIS,RUS,WF,WF 1000365,0 in the burned area,Russian Federation,30,160507 ha
WF_RUS_20210429_133,Green,1,GREEN,1,Russian Federation,4/29/2021,2021-05-15T00:00:00,149270,GWIS,RUS,WF,WF 1000309,0 in the burned area,Russian Federation,16,149270 ha
WF_RUS_20210429_134,Green,1,GREEN,1,Russian Federation,4/29/2021,2021-05-13T00:00:00,92629,GWIS,RUS,WF,WF 1000261,0 in the burned area,Russian Federation,14,92629 ha
WF_RUS_20210425_135,Green,1,GREEN,1,Russian Federation,4/25/2021,2021-05-12T00:00:00,42335,GWIS,RUS,WF,WF 1000299,8 in the burned area,Russian Federation,17,42335 ha
WF_RUS_20210430_136,GREEN,1,GREEN,1,Russian Federation,4/30/2021,2021-05-12T00:00:00,11026,GWIS,RUS,WF,WF 1000349,0 in the burned area,Russian Federation,12,11026 ha
WF_RUS_20210430_137,Green,1,GREEN,1,Russian Federation,4/30/2021,2021-05-11T00:00:00,10649,GWIS,RUS,WF,WF 1000260,4 in the burned area,Russian Federation,11,10649 ha
WF_RUS_20210425_138,Green,1,GREEN,1,Russian Federation,4/25/2021,2021-05-11T00:00:00,32314,GWIS,RUS,WF,WF 1000236,0 in the burned area,Russian Federation,16,32314 ha
WF_RUS_20210425_139,Green,1,GREEN,1,Russian Federation,4/25/2021,2021-05-10T00:00:00,38481,GWIS,RUS,WF,WF 1000225,8 in the burned area,Russian Federation,15,38481 ha
